date,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
2013-03-01,0,3.0,6.0,13.0,7.0,300.0,85.0,-2.3,1020.8,-19.7,0.0,E,0.5,Changping
2013-03-01,1,3.0,3.0,6.0,6.0,300.0,85.0,-2.5,1021.3,-19.0,0.0,ENE,0.7,Changping
2013-03-01,2,3.0,3.0,22.0,13.0,400.0,74.0,-3.0,1021.3,-19.9,0.0,ENE,0.2,Changping
2013-03-01,3,3.0,6.0,12.0,8.0,300.0,81.0,-3.6,1021.8,-19.1,0.0,NNE,1.0,Changping
2013-03-01,4,3.0,3.0,14.0,8.0,300.0,81.0,-3.5,1022.3,-19.4,0.0,N,2.1,Changping
2013-03-01,5,3.0,3.0,10.0,17.0,400.0,71.0,-4.5,1022.6,-19.5,0.0,NNW,1.7,Changping
2013-03-01,6,4.0,6.0,12.0,22.0,500.0,65.0,-4.5,1023.4,-19.5,0.0,NNW,1.8,Changping
2013-03-01,7,3.0,6.0,25.0,39.0,600.0,48.0,-2.1,1024.6,-20.0,0.0,NW,2.5,Changping
2013-03-01,8,9.0,25.0,13.0,42.0,700.0,46.0,-0.2,1025.2,-20.5,0.0,NNW,2.8,Changping
2013-03-01,9,11.0,29.0,5.0,18.0,500.0,73.0,0.6,1025.3,-20.4,0.0,NNW,3.8,Changping
2013-03-01,10,9.0,10.0,3.0,10.0,300.0,83.0,2.0,1025.1,-21.3,0.0,N,2.2,Changping
2013-03-01,11,3.0,3.0,4.0,9.0,300.0,81.0,3.6,1024.8,-20.7,0.0,NNE,2.7,Changping
2013-03-01,12,3.0,6.0,4.0,8.0,300.0,90.0,4.8,1023.8,-19.7,0.0,N,3.0,Changping
2013-03-01,13,3.0,101.0,5.0,9.0,300.0,89.0,5.8,1022.8,-20.6,0.0,NE,4.4,Changping
2013-03-01,14,9.0,60.0,5.0,6.0,300.0,94.0,5.9,1022.6,-20.5,0.0,N,3.6,Changping
2013-03-01,15,3.0,34.0,6.0,7.0,300.0,94.0,6.0,1022.6,-20.4,0.0,N,3.2,Changping
2013-03-01,16,3.0,28.0,5.0,9.0,300.0,92.0,5.4,1022.8,-20.0,0.0,NE,2.2,Changping
2013-03-01,17,6.0,25.0,19.0,12.0,300.0,88.0,3.5,1023.4,-20.8,0.0,ENE,2.0,Changping
2013-03-01,18,4.0,17.0,40.0,22.0,600.0,77.0,2.7,1024.2,-20.0,0.0,NE,3.6,Changping
2013-03-01,19,7.0,19.0,37.0,22.0,600.0,75.0,2.0,1025.1,-19.3,0.0,ENE,1.7,Changping
2013-03-01,20,8.0,21.0,23.0,14.0,300.0,80.0,1.1,1025.9,-18.3,0.0,NE,1.7,Changping
2013-03-01,21,7.0,16.0,34.0,19.0,300.0,74.0,1.6,1026.7,-17.4,0.0,E,2.3,Changping
2013-03-01,22,5.0,13.0,25.0,16.0,300.0,76.0,0.4,1027.2,-17.4,0.0,E,0.0,Changping
2013-03-01,23,7.0,12.0,43.0,25.0,500.0,65.0,0.3,1027.0,-16.6,0.0,NE,1.5,Changping
2013-03-02,0,11.0,13.0,23.0,16.0,400.0,69.0,-0.5,1027.4,-16.4,0.0,SW,3.0,Changping
2013-03-02,1,12.0,10.0,24.0,18.0,400.0,67.0,-1.8,1027.9,-16.7,0.0,SSW,0.9,Changping
2013-03-02,2,13.0,9.0,23.5,56.0,800.0,33.0,-1.7,1027.7,-17.4,0.0,SSW,1.5,Changping
2013-03-02,3,14.0,24.0,23.0,42.0,600.0,39.0,-2.5,1027.7,-17.4,0.0,SW,1.7,Changping
2013-03-02,4,14.0,18.0,24.0,49.5,400.0,45.0,-3.4,1027.5,-17.0,0.0,NW,0.8,Changping
2013-03-02,5,13.0,13.0,37.0,57.0,600.0,28.0,-3.5,1026.9,-16.8,0.0,N,0.5,Changping
2013-03-02,6,16.0,15.0,38.0,66.0,900.0,16.0,-3.5,1026.1,-15.8,0.0,NNE,0.9,Changping
2013-03-02,7,19.0,25.0,39.0,63.0,900.0,18.0,-3.3,1026.7,-14.4,0.0,NNW,0.9,Changping
2013-03-02,8,22.0,26.0,41.0,66.0,1100.0,14.0,-2.0,1026.4,-15.1,0.0,NNE,1.0,Changping
2013-03-02,9,29.0,43.0,53.0,69.0,1600.0,13.0,-0.2,1026.3,-16.6,0.0,WSW,0.5,Changping
2013-03-02,10,46.0,70.0,40.0,54.0,900.0,29.0,0.6,1025.8,-17.2,0.0,SW,1.3,Changping
2013-03-02,11,30.0,33.0,40.0,61.0,800.0,28.0,1.3,1025.4,-17.1,0.0,ESE,1.1,Changping
2013-03-02,12,31.0,41.0,42.0,51.0,700.0,38.0,1.9,1024.2,-17.1,0.0,WSW,1.6,Changping
2013-03-02,13,30.0,34.0,42.0,50.0,700.0,42.0,2.3,1022.6,-17.3,0.0,SE,0.2,Changping
2013-03-02,14,30.0,32.0,50.0,59.0,900.0,36.0,3.0,1021.9,-17.3,0.0,S,0.0,Changping
2013-03-02,15,38.0,41.0,49.0,58.0,900.0,38.0,2.9,1020.9,-16.8,0.0,WSW,1.2,Changping
2013-03-02,16,42.0,49.0,49.0,62.0,900.0,35.0,2.5,1020.6,-17.1,0.0,WNW,0.5,Changping
2013-03-02,17,44.0,50.0,50.0,66.0,900.0,31.0,2.1,1020.2,-16.4,0.0,E,0.7,Changping
2013-03-02,18,44.0,55.0,50.0,73.0,900.0,23.0,1.5,1020.4,-16.0,0.0,NE,0.7,Changping
2013-03-02,19,47.0,60.0,34.0,76.0,1000.0,18.0,0.3,1020.0,-15.3,0.0,NE,0.6,Changping
2013-03-02,20,52.0,65.0,43.0,84.0,1300.0,12.0,0.0,1019.9,-15.2,0.0,NE,0.2,Changping
2013-03-02,21,69.0,76.0,51.0,82.0,1700.0,9.0,-1.2,1019.7,-13.7,0.0,N,1.0,Changping
2013-03-02,22,72.0,83.0,49.0,82.0,1600.0,8.0,-2.1,1019.1,-13.3,0.0,NNE,0.4,Changping
2013-03-02,23,62.0,71.0,68.0,87.0,2000.0,9.0,-2.2,1018.2,-13.4,0.0,NNE,1.1,Changping
2013-03-03,0,73.0,87.0,41.0,76.0,1500.0,7.0,-2.4,1017.4,-13.0,0.0,N,1.0,Changping
2013-03-03,1,50.0,60.0,36.0,73.0,1399.0,7.0,-3.8,1016.5,-12.2,0.0,NNW,1.4,Changping
2013-03-03,2,60.0,62.0,37.0,75.0,1500.0,7.0,-3.8,1015.1,-12.7,0.0,NNE,0.8,Changping
2013-03-03,3,60.0,63.0,41.0,74.0,1600.0,7.0,-4.0,1014.1,-13.4,0.0,NE,0.7,Changping
2013-03-03,4,64.0,66.0,31.0,69.0,1200.0,6.0,-4.8,1013.6,-13.2,0.0,NNE,0.2,Changping
2013-03-03,5,56.0,58.0,34.0,71.0,1300.0,6.0,-5.6,1013.2,-13.0,0.0,ENE,0.5,Changping
2013-03-03,6,53.0,59.0,24.0,68.0,1399.0,6.0,-5.7,1013.2,-13.1,0.0,NE,0.0,Changping
2013-03-03,7,52.0,62.0,25.0,68.0,1700.0,6.0,-3.3,1013.5,-12.8,0.0,NE,0.8,Changping
2013-03-03,8,58.0,75.0,51.0,71.0,2399.0,12.0,-0.3,1012.8,-11.4,0.0,NNW,0.5,Changping
2013-03-03,9,81.0,106.0,69.0,72.0,2000.0,15.0,3.4,1012.5,-12.6,0.0,SSE,0.8,Changping
2013-03-03,10,84.0,101.0,78.0,84.0,2200.0,17.0,6.5,1011.4,-12.2,0.0,SE,2.1,Changping
2013-03-03,11,106.0,148.0,91.0,93.0,1899.0,20.0,9.0,1010.4,-11.6,0.0,ESE,1.4,Changping
2013-03-03,12,110.0,135.0,78.0,89.0,1800.0,24.0,12.2,1009.1,-13.7,0.0,SE,1.8,Changping
2013-03-03,13,113.0,151.0,64.0,80.0,1500.0,30.0,15.6,1007.5,-13.8,0.0,NW,5.4,Changping
2013-03-03,14,100.0,151.0,36.0,53.0,1000.0,52.0,16.6,1006.9,-14.1,0.0,NW,5.3,Changping
2013-03-03,15,68.0,128.0,14.0,20.0,400.0,78.0,17.0,1006.8,-14.9,0.0,NW,2.3,Changping
2013-03-03,16,32.0,90.0,10.0,16.0,400.0,82.0,16.1,1006.9,-14.4,0.0,ENE,0.7,Changping
2013-03-03,17,21.0,71.0,27.0,21.0,400.0,76.0,13.9,1007.6,-14.1,0.0,SSE,0.6,Changping
2013-03-03,18,16.0,33.0,17.0,22.0,400.0,72.0,12.4,1009.0,-14.4,0.0,E,0.8,Changping
2013-03-03,19,18.0,43.0,12.0,35.0,600.0,59.0,8.9,1010.0,-13.5,0.0,NW,0.9,Changping
2013-03-03,20,24.0,56.0,27.0,46.0,800.0,45.0,7.7,1010.1,-12.2,0.0,ENE,0.5,Changping
2013-03-03,21,29.0,55.0,27.0,42.0,700.0,47.0,6.9,1010.6,-12.3,0.0,N,0.7,Changping
2013-03-03,22,23.0,46.0,25.0,69.0,1300.0,19.0,6.8,1011.2,-11.9,0.0,NE,1.5,Changping
2013-03-03,23,30.0,78.0,14.0,24.0,700.0,52.0,8.6,1012.1,-11.4,0.0,NE,2.0,Changping
2013-03-04,0,25.0,42.0,30.0,22.0,400.0,57.0,9.2,1013.2,-12.6,0.0,ENE,2.4,Changping
2013-03-04,1,16.0,38.0,24.0,13.0,300.0,72.0,7.3,1014.2,-12.5,0.0,NE,2.1,Changping
2013-03-04,2,8.0,31.0,29.0,14.0,300.0,74.0,6.1,1014.4,-13.5,0.0,NW,1.4,Changping
2013-03-04,3,6.0,20.0,4.0,10.0,400.0,76.0,6.6,1014.2,-14.8,0.0,N,4.0,Changping
2013-03-04,4,7.0,13.0,3.0,10.0,300.0,80.0,4.8,1014.6,-12.2,0.0,NW,2.6,Changping
2013-03-04,5,3.0,14.0,31.0,46.0,600.0,38.0,5.4,1015.4,-12.1,0.0,NW,4.7,Changping
2013-03-04,6,10.0,24.0,43.0,43.0,500.0,39.0,4.2,1016.1,-12.3,0.0,N,3.0,Changping
2013-03-04,7,12.0,28.0,38.0,38.0,700.0,42.0,6.3,1016.8,-12.3,0.0,N,0.8,Changping
2013-03-04,8,12.0,32.0,29.0,34.0,700.0,48.0,8.9,1017.4,-12.9,0.0,ENE,1.6,Changping
2013-03-04,9,16.0,29.0,21.0,19.0,500.0,65.0,10.2,1017.6,-13.8,0.0,NW,3.8,Changping
2013-03-04,10,14.0,23.0,16.0,12.0,400.0,76.0,11.4,1017.1,-14.4,0.0,NNW,4.2,Changping
2013-03-04,11,7.0,16.0,7.0,11.0,400.0,80.0,12.7,1016.6,-15.1,0.0,NNW,4.4,Changping
2013-03-04,12,8.0,22.0,6.0,9.0,400.0,85.0,14.6,1015.4,-14.6,0.0,NNW,3.5,Changping
2013-03-04,13,14.0,16.0,7.0,9.0,400.0,89.0,15.1,1014.2,-15.2,0.0,NNW,3.4,Changping
2013-03-04,14,11.0,13.0,14.0,11.0,400.0,91.0,16.1,1013.1,-16.9,0.0,NW,3.0,Changping
2013-03-04,15,21.0,24.0,11.0,10.0,400.0,95.0,16.1,1012.5,-16.9,0.0,NW,2.3,Changping
2013-03-04,16,10.0,17.0,10.0,12.0,400.0,92.0,14.8,1012.0,-14.4,0.0,SSW,3.3,Changping
2013-03-04,17,13.0,15.0,8.0,21.0,400.0,86.0,12.9,1012.4,-14.0,0.0,SSW,2.6,Changping
2013-03-04,18,17.0,29.0,14.0,40.0,500.0,81.0,11.3,1012.7,-13.7,0.0,SSW,1.2,Changping
2013-03-04,19,32.0,54.0,39.0,63.0,700.0,57.0,8.7,1013.2,-12.5,0.0,ENE,0.5,Changping
2013-03-04,20,43.0,71.0,66.0,91.0,1100.0,25.0,5.9,1013.4,-11.7,0.0,ENE,0.2,Changping
2013-03-04,21,64.0,99.0,41.0,88.0,1500.0,18.0,4.9,1013.4,-11.7,0.0,ESE,0.8,Changping
2013-03-04,22,76.0,123.0,25.0,57.0,1100.0,34.0,4.0,1013.2,-11.6,0.0,E,0.6,Changping
2013-03-04,23,54.0,75.0,21.0,43.0,1200.0,95.0,4.2,1012.6,-11.5,0.0,ESE,0.8,Changping
2013-03-05,0,57.0,69.0,20.0,37.0,900.0,95.0,2.8,1012.1,-11.2,0.0,ENE,0.4,Changping
